,0,1,2,3,4,5,6,7,8
0.0,12 mars $02{:}23{:}10$,13 mars $03{:}43{:}39$,30 mars $01{:}11{:}19$,31 mars $02{:}31{:}48$,16 avril $23{:}59{:}27$,,,,
0.04,11 mars $02{:}03{:}31$,12 mars $03{:}23{:}59$,29 mars $00{:}51{:}39$,30 mars $02{:}12{:}08$,15 avril $23{:}39{:}48$,17 avril $01{:}00{:}17$,,,
0.11,10 mars $02{:}29{:}28$,11 mars $03{:}49{:}57$,28 mars $01{:}17{:}36$,29 mars $02{:}38{:}05$,15 avril $00{:}05{:}45$,16 avril $01{:}26{:}14$,,,
0.19,08 mars $01{:}50{:}09$,09 mars $03{:}10{:}37$,10 mars $04{:}31{:}06$,26 mars $00{:}38{:}17$,27 mars $01{:}58{:}46$,28 mars $03{:}19{:}15$,12 avril $23{:}26{:}26$,14 avril $00{:}46{:}55$,15 avril $02{:}07{:}23$
0.267,07 mars $02{:}26{:}14$,08 mars $03{:}46{:}43$,25 mars $01{:}14{:}23$,26 mars $02{:}34{:}51$,12 avril $00{:}02{:}31$,13 avril $01{:}23{:}00$,,,
0.333,06 mars $02{:}47{:}07$,07 mars $04{:}07{:}36$,24 mars $01{:}35{:}16$,25 mars $02{:}55{:}45$,11 avril $00{:}23{:}25$,12 avril $01{:}43{:}53$,,,
0.4,05 mars $03{:}08{:}00$,06 mars $04{:}28{:}29$,23 mars $01{:}56{:}09$,24 mars $03{:}16{:}38$,10 avril $00{:}44{:}18$,11 avril $02{:}04{:}46$,,,
0.467,03 mars $02{:}08{:}25$,04 mars $03{:}28{:}54$,05 mars $04{:}49{:}22$,21 mars $00{:}56{:}34$,22 mars $02{:}17{:}02$,23 mars $03{:}37{:}31$,09 avril $01{:}05{:}11$,10 avril $02{:}25{:}40$,
0.52,03 mars $03{:}29{:}30$,04 mars $04{:}49{:}59$,21 mars $02{:}17{:}39$,22 mars $03{:}38{:}08$,08 avril $01{:}05{:}48$,09 avril $02{:}26{:}16$,,,
0.59,01 mars $02{:}34{:}59$,02 mars $03{:}55{:}28$,19 mars $01{:}23{:}08$,20 mars $02{:}43{:}36$,06 avril $00{:}11{:}16$,07 avril $01{:}31{:}45$,,,
0.67,29 févr. $03{:}16{:}09$,01 mars $04{:}36{:}37$,18 mars $02{:}04{:}17$,19 mars $03{:}24{:}46$,05 avril $00{:}52{:}26$,06 avril $02{:}12{:}54$,,,
0.76,27 févr. $02{:}52{:}02$,28 févr. $04{:}12{:}30$,16 mars $01{:}40{:}10$,17 mars $03{:}00{:}39$,03 avril $00{:}28{:}19$,04 avril $01{:}48{:}48$,,,
0.83,26 févr. $03{:}17{:}59$,27 févr. $04{:}38{:}28$,15 mars $02{:}06{:}08$,16 mars $03{:}26{:}36$,02 avril $00{:}54{:}16$,03 avril $02{:}14{:}45$,,,
0.91,14 mars $02{:}47{:}17$,15 mars $04{:}07{:}46$,01 avril $01{:}35{:}26$,02 avril $02{:}55{:}54$,,,,,
0.98,12 mars $01{:}52{:}46$,13 mars $03{:}13{:}14$,30 mars $00{:}40{:}54$,31 mars $02{:}01{:}23$,16 avril $23{:}29{:}03$,18 avril $00{:}49{:}32$,,,
